HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
ICON College of Technology and Management,England,All,All,Domicile,Total Non-UK,0
ICON College of Technology and Management,England,All,All,Total,Total,1535
ICON College of Technology and Management,England,All,Full-time,Total,Total,1535
"Imperial College of Science, Technology and Medicine",England,All,All,Domicile,Total Non-UK,10615
"Imperial College of Science, Technology and Medicine",England,All,All,Total,Total,19660
"Imperial College of Science, Technology and Medicine",England,All,Full-time,Total,Total,18030
"Imperial College of Science, Technology and Medicine",England,All,Part-time,Total,Total,1630
London College of International Business Studies Ltd,England,All,All,Domicile,Total Non-UK,0
London College of International Business Studies Ltd,England,All,All,Total,Total,40
London College of International Business Studies Ltd,England,All,Full-time,Total,Total,40
Institute of Art - London Limited,England,All,All,Domicile,Total Non-UK,235
Institute of Art - London Limited,England,All,All,Total,Total,315
Institute of Art - London Limited,England,All,Full-time,Total,Total,145
Institute of Art - London Limited,England,All,Part-time,Total,Total,165
The Institute of Ismaili Studies,England,All,All,Domicile,Total Non-UK,50
The Institute of Ismaili Studies,England,All,All,Total,Total,50
The Institute of Ismaili Studies,England,All,Full-time,Total,Total,50
Institute of Contemporary Music Performance,England,All,All,Domicile,Total Non-UK,340
Institute of Contemporary Music Performance,England,All,All,Total,Total,1040
Institute of Contemporary Music Performance,England,All,Full-time,Total,Total,995
Institute of Contemporary Music Performance,England,All,Part-time,Total,Total,40
The Islamic College,England,All,All,Domicile,Total Non-UK,0
The Islamic College,England,All,All,Total,Total,40
The Islamic College,England,All,Full-time,Total,Total,40
The Islamic College,England,All,Part-time,Total,Total,5
Kaplan Open Learning,England,All,All,Domicile,Total Non-UK,5
Kaplan Open Learning,England,All,All,Total,Total,1320
Kaplan Open Learning,England,All,Part-time,Total,Total,1320
Keele University,England,All,All,Domicile,Total Non-UK,795
Keele University,England,All,All,Total,Total,10880
Keele University,England,All,Full-time,Total,Total,8620
Keele University,England,All,Part-time,Total,Total,2265
Kensington College of Business,England,All,All,Domicile,Total Non-UK,0
Kensington College of Business,England,All,All,Total,Total,250
Kensington College of Business,England,All,Full-time,Total,Total,250
The University of Kent,England,All,All,Domicile,Total Non-UK,3970
The University of Kent,England,All,All,Total,Total,18710
The University of Kent,England,All,Full-time,Total,Total,16500
The University of Kent,England,All,Part-time,Total,Total,2210
King's College London,England,All,All,Domicile,Total Non-UK,13475
King's College London,England,All,All,Total,Total,33110
King's College London,England,All,Full-time,Total,Total,27640
King's College London,England,All,Part-time,Total,Total,5470
KLC School of Design,England,All,All,Domicile,Total Non-UK,15
KLC School of Design,England,All,All,Total,Total,190
KLC School of Design,England,All,Full-time,Total,Total,80
KLC School of Design,England,All,Part-time,Total,Total,110
Kingston University,England,All,All,Domicile,Total Non-UK,4745
Kingston University,England,All,All,Total,Total,18070
Kingston University,England,All,Full-time,Total,Total,15780
Kingston University,England,All,Part-time,Total,Total,2290
LAMDA Limited,England,All,All,Domicile,Total Non-UK,175
LAMDA Limited,England,All,All,Total,Total,325
LAMDA Limited,England,All,Full-time,Total,Total,245
LAMDA Limited,England,All,Part-time,Total,Total,85
The University of Lancaster,England,All,All,Domicile,Total Non-UK,5425
The University of Lancaster,England,All,All,Total,Total,15665
The University of Lancaster,England,All,Full-time,Total,Total,14230
The University of Lancaster,England,All,Part-time,Total,Total,1435
LCCM AU UK Limited,England,All,All,Domicile,Total Non-UK,30
LCCM AU UK Limited,England,All,All,Total,Total,150
LCCM AU UK Limited,England,All,Full-time,Total,Total,140
LCCM AU UK Limited,England,All,Part-time,Total,Total,15
Leeds Arts University,England,All,All,Domicile,Total Non-UK,205
Leeds Arts University,England,All,All,Total,Total,2145
Leeds Arts University,England,All,Full-time,Total,Total,2105
Leeds Arts University,England,All,Part-time,Total,Total,40
Leeds Beckett University,England,All,All,Domicile,Total Non-UK,1565
Leeds Beckett University,England,All,All,Total,Total,22205
Leeds Beckett University,England,All,Full-time,Total,Total,18005
Leeds Beckett University,England,All,Part-time,Total,Total,4205
Le Cordon Bleu Limited,England,All,All,Domicile,Total Non-UK,205
Le Cordon Bleu Limited,England,All,All,Total,Total,315
Le Cordon Bleu Limited,England,All,Full-time,Total,Total,260
Le Cordon Bleu Limited,England,All,Part-time,Total,Total,55
Leeds Conservatoire,England,All,All,Domicile,Total Non-UK,130
Leeds Conservatoire,England,All,All,Total,Total,1300
Leeds Conservatoire,England,All,Full-time,Total,Total,1300
The University of Leeds,England,All,All,Domicile,Total Non-UK,10760
The University of Leeds,England,All,All,Total,Total,36330
The University of Leeds,England,All,Full-time,Total,Total,34405
The University of Leeds,England,All,Part-time,Total,Total,1925
Leeds Trinity University,England,All,All,Domicile,Total Non-UK,85
Leeds Trinity University,England,All,All,Total,Total,4985
Leeds Trinity University,England,All,Full-time,Total,Total,4670
Leeds Trinity University,England,All,Part-time,Total,Total,310
The University of Leicester,England,All,All,Domicile,Total Non-UK,4425
The University of Leicester,England,All,All,Total,Total,16180
The University of Leicester,England,All,Full-time,Total,Total,14750
The University of Leicester,England,All,Part-time,Total,Total,1430
The University of Lincoln,England,All,All,Domicile,Total Non-UK,1185
The University of Lincoln,England,All,All,Total,Total,16425
The University of Lincoln,England,All,Full-time,Total,Total,13770
The University of Lincoln,England,All,Part-time,Total,Total,2650
Liverpool Hope University,England,All,All,Domicile,Total Non-UK,220
Liverpool Hope University,England,All,All,Total,Total,4985
Liverpool Hope University,England,All,Full-time,Total,Total,4525
Liverpool Hope University,England,All,Part-time,Total,Total,460
Liverpool John Moores University,England,All,All,Domicile,Total Non-UK,1955
Liverpool John Moores University,England,All,All,Total,Total,25050
Liverpool John Moores University,England,All,Full-time,Total,Total,20845
Liverpool John Moores University,England,All,Part-time,Total,Total,4210
The Liverpool Institute for Performing Arts,England,All,All,Domicile,Total Non-UK,190
The Liverpool Institute for Performing Arts,England,All,All,Total,Total,885
The Liverpool Institute for Performing Arts,England,All,Full-time,Total,Total,880
The Liverpool Institute for Performing Arts,England,All,Part-time,Total,Total,0
